Character,Birthplace,Children,Duration,Father,Gender,Mother,Number of appearances,Occupation,Played by,Residence,Sec,Sibling(s),Sic,Spouse(s),Born,Died,First appearance,Last appearance,Exit status,Exit date,Start date,Segment,Max segment
Reg Holdsworth,,A daughter (1996),1989-1995 (Coronation Street)  1999 (After Hours),,Male,,410,Retail manager,Ken Morley,,Medium,,"Wholesale, retail & repair of motor vehicles",Veronica Hardback (1989)  Maureen Naylor (1994),1942-03-14,,1989-10-25,1995-11-24,Exit,1995-11-24,1989-10-25,1,1
Renee Roberts,,,1976-1980,Harold Bradshaw,Female,Daisy Hibbert,237,Shopkeeper,Madge Hindle,,Low,Terry Bradshaw,"Wholesale, retail & repair of motor vehicles",Alf Roberts (1978),1943-03-03,1980-07-30,1976-05-10,1980-07-30,Death,1980-07-30,1976-05-10,1,1
Richard Hillman,,,2001-2003,,Male,Pamela Hillman,220,Businessman,Brian Capron,,High,,Financial & insurance activities,Marion Hillman (1971)  Patricia Hillman (1997)  Gail Platt (2002),1951-12-20,2003-03-14,2001-06-20,2003-03-14,Death,2003-03-14,2001-06-20,1,1
Rita Tanner,Manchester,,"1964, 1972 to present",Harold Littlewood,Female,Amy Littlewood,3966 (as of Episode 11557/8),Newsagent at The Kabin,Barbara Knox,10a Coronation Street,Low,,"Wholesale, retail & repair of motor vehicles",Harry Bates (common-law)  Len Fairclough (1977)  Ted Sullivan (1992)  Dennis Tanner (2012),1932-02-25,,1964-12-02,,Exit,1964-12-03,1964-12-02,1,2
Rita Tanner,Manchester,,"1964, 1972 to present",Harold Littlewood,Female,Amy Littlewood,3966 (as of Episode 11557/8),Newsagent at The Kabin,Barbara Knox,10a Coronation Street,Low,,"Wholesale, retail & repair of motor vehicles",Harry Bates (common-law)  Len Fairclough (1977)  Ted Sullivan (1992)  Dennis Tanner (2012),1932-02-25,,1964-12-02,,Alive,2025-06-30,1972-06-30,2,2
Rob Donovan,,Bobby Crawford,"2012-2014, 2015-2016, 2017, 2025",,Male,Sharon Donovan,346,,Marc Baylis,,,Carla Connor (half-sister),,,1979-11-01,,2012-07-09,2025-03-26,Exit,2017-06-30,2012-07-09,1,2
Rob Donovan,,Bobby Crawford,"2012-2014, 2015-2016, 2017, 2025",,Male,Sharon Donovan,346,,Marc Baylis,,,Carla Connor (half-sister),,,1979-11-01,,2012-07-09,2025-03-26,Exit,2025-03-26,2025-03-25,2,2
Roger Stiles,,,2007-2008,,Male,,66,Plumber,Andrew Dunn,,Medium,,Construction,,,,2007-01-01,2008-10-08,Exit,2008-10-08,2007-01-01,1,1
Ronnie Bailey,,,2021 to present,Sarge Bailey,Male,,285 (as of Episode 11557/8),Developer,Vinta Morgan,3 Coronation Street,High,Ed Bailey,Real estate activities,Ruth Bailey  Kat Bailey (2018),1969-10-18,,2021-02-19,,Alive,2025-06-30,2021-02-19,1,1
Ronnie Clayton,,,2005-2006,,Male,,56,Taxi driver,Emma Stansfield,,Low,,Transport & storage,Jimmy Clayton,1975-06-30,,2005-10-03,2006-06-11,Exit,2006-06-11,2005-10-03,1,1
Rosie Webster,"Rosamund Street, Weatherfield",,"1990-2012, 2017-2018",Kevin Webster,Female,Sally Webster,1365,Game show assistant,Emma Collinge (1990-1999)  Helen Flanagan (2000-2018),,Low,Sophie Webster  Jake Webster (half-brother)  Jack Webster (half-brother),Other services,,1990-12-24,,1990-12-25,2018-06-08,Exit,2012-06-30,1990-12-25,1,2
Rosie Webster,"Rosamund Street, Weatherfield",,"1990-2012, 2017-2018",Kevin Webster,Female,Sally Webster,1365,Game show assistant,Emma Collinge (1990-1999)  Helen Flanagan (2000-2018),,Low,Sophie Webster  Jake Webster (half-brother)  Jack Webster (half-brother),Other services,,1990-12-24,,1990-12-25,2018-06-08,Exit,2018-06-08,2017-06-30,2,2
Roy Cropper,,,1995 to present,St. John Cropper,Male,Sylvia Goodwin,2823 (as of Episode 11557/8),Proprietor of Roy's Rolls,David Neilson,16a Victoria Street,Medium,Richard Lucas (half-brother)Isabelle Cropper (half-sister)Stephen Cropper (half-brother)Jonathan Cropper (half-brother),Accommodation & food services,Tracy Barlow (2003)Hayley Cropper (2010),1954-09-21,,1995-07-19,,Alive,2025-06-30,1995-07-19,1,1
Ruby Dobbs,Rovers Return Inn,,2012 to present,Tyrone Dobbs,Female,Kirsty Soames,409 (as of Episode 11557/8),,Grace Hanrahan (2012-2013)  Macy Alabi (2012-2023)  Billie Naylor (2023 to present),9 Coronation Street,,Dorin Pop (half-brother),,,2012-09-09,,2012-09-09,,Alive,2025-06-30,2012-09-09,1,1
Russ Gray,,,2010-2011,Chris Gray,Male,Cheryl Gray,51,,Finton Flynn,,,,,,,,2010-05-28,2011-11-18,Exit,2011-11-18,2010-05-28,1,1
Ryan Connor,Weatherfield,,"2006-2010, 2012-2013, 2018 to present",Nick Neeson (biological)Dean (legal father),Male,Wendy Neeson (biological)Michelle Connor (legal mother),943 (as of Episode 11557/8),DJ Rovers' barman,Ben Thompson (2006-2010)Sol Heras (2012-2013)Ryan Prescott (2018 to present),15a Victoria Street,Low,Ali Neeson (legal brother)Ruairi McDonald (legal half-brother),Accommodation & food services,,1992-01-14,,2006-08-30,,Exit,2010-06-30,2006-08-30,1,3
Ryan Connor,Weatherfield,,"2006-2010, 2012-2013, 2018 to present",Nick Neeson (biological)Dean (legal father),Male,Wendy Neeson (biological)Michelle Connor (legal mother),943 (as of Episode 11557/8),DJ Rovers' barman,Ben Thompson (2006-2010)Sol Heras (2012-2013)Ryan Prescott (2018 to present),15a Victoria Street,Low,Ali Neeson (legal brother)Ruairi McDonald (legal half-brother),Accommodation & food services,,1992-01-14,,2006-08-30,,Exit,2013-06-30,2012-06-30,2,3
Ryan Connor,Weatherfield,,"2006-2010, 2012-2013, 2018 to present",Nick Neeson (biological)Dean (legal father),Male,Wendy Neeson (biological)Michelle Connor (legal mother),943 (as of Episode 11557/8),DJ Rovers' barman,Ben Thompson (2006-2010)Sol Heras (2012-2013)Ryan Prescott (2018 to present),15a Victoria Street,Low,Ali Neeson (legal brother)Ruairi McDonald (legal half-brother),Accommodation & food services,,1992-01-14,,2006-08-30,,Alive,2025-06-30,2018-06-30,3,3
Sally Metcalfe,Weatherfield,Rosie Webster (1990)Sophie Webster (1994),1986 to present,Eddie Seddon,Female,Elsie Seddon,3856 (as of Episode 11557/8),Machinery Supervisor at Underworld,Sally Dynevor,4 Coronation Street,Medium,Gina Seddon,Manufacturing,"Kevin Webster (1986, 2002)Tim Metcalfe (2015; bigamous, 2020)",1967-07-11,,1986-01-27,,Alive,2025-06-30,1986-01-27,1,1
Sam Blakeman,,,2020 to present,Nick Tilsley,Male,Natasha Blakeman,296 (as of Episode 11557/8),,Jude Riordan,12 Victoria Court,,,,,2011-04-28,,2020-10-02,,Alive,2025-06-30,2020-10-02,1,1
Sam Kingston,,,2000-2002,,Male,Brenda Kingston,139,Mechanic,Scott Wright,Ibiza,Low,,"Wholesale, retail & repair of motor vehicles",,,,2000-06-19,2002-06-07,Exit,2002-06-07,2000-06-19,1,1
Samantha Failsworth,Manchester,,1996-1998,Clive Failsworth,Female,Marjorie Failsworth,225,Barmaid,Tina Hobley,,Low,,Accommodation & food services,Ritchie Fitzgerald (1996),1976-03-05,,1996-07-17,1998-06-15,Exit,1998-06-15,1996-07-17,1,1
Samir Rachid,Morocco,,1994-1995,,Male,,67,Waiter,Al Nedjari,,Low,A younger sister,Accommodation & food services,Deirdre Barlow (1994),1973-01-14,1995-06-02,1994-08-24,1995-06-02,Death,1995-06-02,1994-08-24,1,1
Sandra Butler,,,1969-1970,Terry Butler,Female,Fay Butler,51,Hairdresser,Patricia Fuller,London,Low,Bernard Butler,Other services,,1952-10-01,,1969-11-17,1970-08-31,Exit,1970-08-31,1969-11-17,1,1
Sandra Petty,,,"1964, 1965",Lionel Petty,Female,Mary Petty,39,Shop assistant,Heather Moore,,Low,,"Wholesale, retail & repair of motor vehicles",,1946-06-21,,1964-11-04,1965-12-01,Exit,1965-12-01,1964-11-04,1,1
Sandra Stubbs,,Jason Stubbs,1988-1989,,Female,,53,Cleaner,Sally Watts,,Low,,Administrative & support services,Ronnie Stubbs,,,1988-05-02,1989-02-22,Exit,1989-02-22,1988-05-02,1,1
Sarah Platt,Weatherfield General,Bethany Platt (2000)Billy Platt (2004)Harry Platt (2016),"1987-2008, 2015 to present",Brian TilsleyMartin Platt (adoptive),Female,Gail Chadwick,2725 (as of Episode 11557/8),Underworld manager,Leah King (1987)Lynsay King (1987-1999)Tina O'Brien (1999 to present),7 Redbank Apartments,Medium,Nick TilsleyDavid Platt (half-brother)Charlotte Platt (adoptive half-sister),Manufacturing,Jason Grimshaw (2007)Adam Barlow (2020),1987-02-02,,1987-02-02,,Exit,2008-06-30,1987-02-02,1,2
Sarah Platt,Weatherfield General,Bethany Platt (2000)Billy Platt (2004)Harry Platt (2016),"1987-2008, 2015 to present",Brian TilsleyMartin Platt (adoptive),Female,Gail Chadwick,2725 (as of Episode 11557/8),Underworld manager,Leah King (1987)Lynsay King (1987-1999)Tina O'Brien (1999 to present),7 Redbank Apartments,Medium,Nick TilsleyDavid Platt (half-brother)Charlotte Platt (adoptive half-sister),Manufacturing,Jason Grimshaw (2007)Adam Barlow (2020),1987-02-02,,1987-02-02,,Alive,2025-06-30,2015-06-30,2,2
Scooter Makuna,,,2005,,Male,,50,,Sushil Chudasama,Regent Street,,,,,1985-04-01,,2005-01-26,2005-11-06,Exit,2005-11-06,2005-01-26,1,1
Sean Skinner,,,1994-1997,,Male,,103,Bookmaker,Terence Hillyer,,Medium,a sister,Other services,Lynne Skinner,,,1994-08-01,1997-05-05,Exit,1997-05-05,1994-08-01,1,1
Sean Tully,,Dylan Wilson (2008),"2003, 2004 to present",Paul Jones,Male,Maureen Tully,2128 (as of Episode 11557/8),Machinist,Antony Cotton,"Flat 2, Weatherfield Precinct",Low,Half-brother,Manufacturing,,1976-09-13,,2003-07-13,,Alive,2025-06-30,2003-07-13,1,1
Seb Franklin,,,2016-2021,Tez Wyatt,Male,Abi Franklin,315,Handyman,Harry Visinoni,,Low,Charlie Franklin (half-brother)  Lexi Franklin (half-sister)  Alfie Franklin (half-brother)  another half-sister,Construction,,2001-03-06,2021-05-07,2016-10-10,2021-05-07,Death,2021-05-07,2016-10-10,1,1
Shannon Tattersall,Weatherfield,,1997-1998,Liam Shepherd,Female,Zoe Tattersall,61,,Lucy Whipday,,,,,,1997-08-27,1998-04-17,1997-08-27,1998-04-17,Death,1998-04-17,1997-08-27,1,1
Sharif Nazir,,Kal Nazir,2014-2016,,Male,,165,Businessman,Marc Anwar,Newcastle,High,,Financial & insurance activities,Yasmeen Nazir (1971),,,2014-02-24,2016-11-04,Exit,2016-11-04,2014-02-24,1,1
Sharon Bentley,,,"1982, 1983-1984, 1999, 2021",Geoffrey Gaskell,Female,Karen Gaskell,209,,Tracie Bennett,,,Wayne Gaskell  Darren Gaskell  Gary Gaskell,,Ian Bentley (1999),1965-03-22,,1982-03-01,2021-06-25,Exit,1984-06-30,1982-03-01,1,2
Sharon Bentley,,,"1982, 1983-1984, 1999, 2021",Geoffrey Gaskell,Female,Karen Gaskell,209,,Tracie Bennett,,,Wayne Gaskell  Darren Gaskell  Gary Gaskell,,Ian Bentley (1999),1965-03-22,,1982-03-01,2021-06-25,Exit,2021-06-25,2021-06-24,2,2
Sheila Crossley,Manchester,Danny Crossley (1964),"1961, 1962-1963, 1966, 1969, 1974",Mr Birtles,Female,Mrs Birtles,161,Factory worker,Eileen Mayers,Sheffield,Low,Raymond Birtles  Eric Birtles,Manufacturing,Neil Crossley (1966),1940-04-23,,1961-01-04,1974-10-02,Exit,1963-06-30,1961-01-04,1,2
Sheila Crossley,Manchester,Danny Crossley (1964),"1961, 1962-1963, 1966, 1969, 1974",Mr Birtles,Female,Mrs Birtles,161,Factory worker,Eileen Mayers,Sheffield,Low,Raymond Birtles  Eric Birtles,Manufacturing,Neil Crossley (1966),1940-04-23,,1961-01-04,1974-10-02,Exit,1974-10-02,1974-06-30,2,2
Shelley Unwin,,,2001-2006,Jimmy Unwin,Female,Bev Unwin,763,Manageress,Sally Lindsay,Peak District,Medium,Sharon Unwin,Administrative & support services,"Peter Barlow (2003, bigamous)",1973-11-19,,2001-05-09,2006-09-29,Exit,2006-09-29,2001-05-09,1,1
Shirley Armitage,Weatherfield,,1983-1989,Mr Armitage,Female,Mrs Armitage,153,Machinist,Lisa Lewis,Gorton,Low,Franklin Armitage  Lucy ArmitageFour other siblings,Manufacturing,,1961-04-11,,1983-09-05,1989-04-12,Exit,1989-04-12,1983-09-05,1,1
Shona Platt,,Clayton Hibbs (2001),2016 to present,,Female,,873 (as of Episode 11557/8),Assistant at Roy's Rolls,Julia Goulding,8 Coronation Street,Low,a sister,Accommodation & food services,David Platt (2019),1987-10-06,,2016-12-16,,Alive,2025-06-30,2016-12-16,1,1
Sian Powers,,,2009-2011,Vinnie Powers,Female,Janet Powers,206,,Sacha Parkinson,Southport,,,,,1993-12-28,,2009-01-26,2011-12-30,Exit,2011-12-30,2009-01-26,1,1
Simon Barlow,,,"2003, 2008-2024",Peter Barlow,Male,Lucy BarlowLeanne Battersby (legal mother),931,,Daniel Whelan (2003) Jake & Oscar Hartley (2003)Alex Bain (2008-2024),"Bilbao, Spain",,Oliver Battersby (legal half-brother)  Unnamed half-brother (stillborn),,,2003-07-06,,2003-07-06,2024-06-03,Exit,2003-07-07,2003-07-06,1,2
Simon Barlow,,,"2003, 2008-2024",Peter Barlow,Male,Lucy BarlowLeanne Battersby (legal mother),931,,Daniel Whelan (2003) Jake & Oscar Hartley (2003)Alex Bain (2008-2024),"Bilbao, Spain",,Oliver Battersby (legal half-brother)  Unnamed half-brother (stillborn),,,2003-07-06,,2003-07-06,2024-06-03,Exit,2024-06-03,2008-06-30,2,2
Sinead Osbourne,Weatherfield,Bertie Osbourne (2019),2013-2019,,Female,Arlene Tinker,591,,Katie McGlynn,,,Millie Tinker  Penny Tinker,,Daniel Osbourne (2019),1994-03-10,2019-10-25,2013-04-19,2019-10-25,Death,2019-10-25,2013-04-19,1,1
Sonia Marshall,,,2003-2005,,Female,,126,Factory machinist,Tina Gambe,Bognor Regis,Low,Dean Marshall,Manufacturing,,,,2003-06-16,2005-03-20,Exit,2005-03-20,2003-06-16,1,1
Sophie Webster,Weatherfield,,1994-2019,Kevin Webster,Female,Sally Webster,1566,,Ashleigh Middleton (1994-1997) Emma Woodward (1997-2004)  Brooke Vincent (2004-2019),,,Rosie Webster  Jake Webster (half-brother)  Jack Webster (half-brother),,,1994-11-04,,1994-11-04,2019-10-09,Exit,2019-10-09,1994-11-04,1,1
Spider Nugent,London,,"1997-2000, 2001, 2003, 2022-2023",Edgar Nugent,Male,,340,Detective Constable,Martin Hancock,,Medium,,Public admin & defence; social security,Layla,1972-01-04,,1997-12-15,2023-07-19,Exit,2001-06-30,1997-12-15,1,2
Spider Nugent,London,,"1997-2000, 2001, 2003, 2022-2023",Edgar Nugent,Male,,340,Detective Constable,Martin Hancock,,Medium,,Public admin & defence; social security,Layla,1972-01-04,,1997-12-15,2023-07-19,Exit,2023-07-19,2022-06-30,2,2
Stan Ogden,Weatherfield,Irma Barlow (1946)  Trevor Ogden (1949) Sylvia Ogden  Tony Ogden,1964-1984,Isaiah Ogden,Male,Mary Ogden,1226,Window cleaner (retired),Bernard Youens,,Low,A brother,Other services,Hilda Crabtree (1943),1919-05-17,1984-11-21,1964-06-29,1984-03-07,Death,1984-11-21,1964-06-29,1,1
Stella Price,Manchester,Leanne Battersby (1981)  Eva Price (1988),2011-2014,,Female,Gloria Price,455,Waitress,Michelle Collins,France,Low,,Accommodation & food services,Karl Munro (2013),1963-08-11,,2011-06-16,2014-04-02,Exit,2014-04-02,2011-06-16,1,1
Steph Barnes,,Matthew (1995),"1990-1991, 1992, 1995",Maurice Jones,Female,Carol Jones,130,Store assistant,Amelia Bullmore,,Low,,"Wholesale, retail & repair of motor vehicles",Des Barnes (1990),1965-06-11,,1990-02-12,1995-10-04,Exit,1992-06-30,1990-02-12,1,2
Steph Barnes,,Matthew (1995),"1990-1991, 1992, 1995",Maurice Jones,Female,Carol Jones,130,Store assistant,Amelia Bullmore,,Low,,"Wholesale, retail & repair of motor vehicles",Des Barnes (1990),1965-06-11,,1990-02-12,1995-10-04,Exit,1995-10-04,1995-06-30,2,2
Steph Britton,,,"2013-2017, 2018",,Female,,319,Waitress,Tisha Merry,Portugal,Low,Luke Britton,Accommodation & food services,,1995-02-22,,2013-02-18,2018-02-07,Exit,2018-02-07,2013-02-18,1,1
Stephen Reid,,,"1996-1997, 2007, 2022-2023",Geoff Masters (biological)  Malcolm Reid (adoptive),Male,Audrey Roberts (biological)Joyce Reid (adoptive),299,Businessman,Todd Boyce,,High,Gail Rodwell (half-sister),Financial & insurance activities,Gabrielle Reid (1999),1957-02-06,2023-10-10,1996-01-29,2023-10-13,Exit,1997-06-30,1996-01-29,1,2
Stephen Reid,,,"1996-1997, 2007, 2022-2023",Geoff Masters (biological)  Malcolm Reid (adoptive),Male,Audrey Roberts (biological)Joyce Reid (adoptive),299,Businessman,Todd Boyce,,High,Gail Rodwell (half-sister),Financial & insurance activities,Gabrielle Reid (1999),1957-02-06,2023-10-10,1996-01-29,2023-10-13,Death,2023-10-10,2022-06-30,2,2
Steve Fisher,Weatherfield,,1977-1979,,Male,,112,Trainee/Assistant Manager at Baldwin's Casuals,Lawrence Mullin,London,Low,,"Wholesale, retail & repair of motor vehicles",,1957-05-08,,1977-08-29,1979-12-10,Exit,1979-12-10,1977-08-29,1,1
Steve McDonald,Belfast,Emma Brooker (1999)Amy Barlow (2004)Ruairi McDonald (2017)Oliver Battersby (2017),1989 to present,Jim McDonald,Male,Liz McDonald,3780 (as of Episode 11557/8),Co-owner of Street Cars,Simon Gregson,1 Coronation Street,Medium,Andy McDonaldKatie McDonald,Transport & storage,"Vicky Arden (1995)Karen Phillips (2001, 2004)Becky Granger (2009)Tracy Barlow (2012, 2018)Michelle Connor (2015)",1974-06-26,,1989-12-06,,Alive,2025-06-30,1989-12-06,1,1
Steve Tanner,Boston,,1967,,Male,Emmeline Tanner,57,Soldier,Paul Maxwell,,Medium,,Public admin & defence; social security,Le LanElsie Tanner (1967),1924-10-30,1968-09-25,1967-05-03,1967-12-27,Death,1968-09-25,1967-05-03,1,1
Stu Carpenter,,Bridget Woodrow,2021-2024,,Male,,255,Chef,Bill Fellows,,Medium,,Accommodation & food services,Lucy Woodrow,1955-06-10,,2021-10-06,2024-10-14,Exit,2024-10-14,2021-10-06,1,1
Sue Clayton,,,1985,Harry Clayton,Female,Connie Clayton,27,Shop assistant,Jane Hazlegrove,,Low,Andrea Clayton,"Wholesale, retail & repair of motor vehicles",,,,1985-01-30,1985-08-28,Exit,1985-08-28,1985-01-30,1,1
Summer Spellman,,,2017 to present,Drew Spellman (adoptive)Charlie (adoptive),Female,,562 (as of Episode 11557/8),,Matilda Freeman (2017-2020)Harriet Bibby (2020 to present),19a Rosamund Street,,,,,2004-08-29,,2017-06-16,,Alive,2025-06-30,2017-06-16,1,1
Sunita Alahan,,Aadi Alahan (2006)Asha Alahan (2006),"2001-2006, 2009-2013",Suresh Parekh,Female,Mena Parekh,757,Shop assistant,Shobna Gulati,,Low,Jayesh Parekh,"Wholesale, retail & repair of motor vehicles",Dev Alahan (2004),1978-08-01,2013-04-03,2001-03-21,2013-04-03,Exit,2006-06-30,2001-03-21,1,2
Sunita Alahan,,Aadi Alahan (2006)Asha Alahan (2006),"2001-2006, 2009-2013",Suresh Parekh,Female,Mena Parekh,757,Shop assistant,Shobna Gulati,,Low,Jayesh Parekh,"Wholesale, retail & repair of motor vehicles",Dev Alahan (2004),1978-08-01,2013-04-03,2001-03-21,2013-04-03,Death,2013-04-03,2009-06-30,2,2
Susan Barlow,Weatherfield,Adam Barlow (1988),"1965-1971, 1973, 1974, 1979-1980, 1981, 1985-1987, 2001",Ken Barlow,Female,Valerie Barlow,177,,"Katie Heanue (1965-1970)Wendy Jane Walker (1970-1974, 1985-1987) Suzy Paterson (1979-1981)Joanna Foster (2001)",,,Lawrence Cunningham (half-brother) Peter Barlow Tracy Barlow (adoptive half-sister) Daniel Osbourne (half-brother),,Mike Baldwin (1986),1965-04-05,2001-02-11,1965-04-05,2001-02-11,Exit,1971-06-30,1965-04-05,1,5
Susan Barlow,Weatherfield,Adam Barlow (1988),"1965-1971, 1973, 1974, 1979-1980, 1981, 1985-1987, 2001",Ken Barlow,Female,Valerie Barlow,177,,"Katie Heanue (1965-1970)Wendy Jane Walker (1970-1974, 1985-1987) Suzy Paterson (1979-1981)Joanna Foster (2001)",,,Lawrence Cunningham (half-brother) Peter Barlow Tracy Barlow (adoptive half-sister) Daniel Osbourne (half-brother),,Mike Baldwin (1986),1965-04-05,2001-02-11,1965-04-05,2001-02-11,Exit,1974-06-30,1973-06-30,2,5
Susan Barlow,Weatherfield,Adam Barlow (1988),"1965-1971, 1973, 1974, 1979-1980, 1981, 1985-1987, 2001",Ken Barlow,Female,Valerie Barlow,177,,"Katie Heanue (1965-1970)Wendy Jane Walker (1970-1974, 1985-1987) Suzy Paterson (1979-1981)Joanna Foster (2001)",,,Lawrence Cunningham (half-brother) Peter Barlow Tracy Barlow (adoptive half-sister) Daniel Osbourne (half-brother),,Mike Baldwin (1986),1965-04-05,2001-02-11,1965-04-05,2001-02-11,Exit,1981-06-30,1979-06-30,3,5
Susan Barlow,Weatherfield,Adam Barlow (1988),"1965-1971, 1973, 1974, 1979-1980, 1981, 1985-1987, 2001",Ken Barlow,Female,Valerie Barlow,177,,"Katie Heanue (1965-1970)Wendy Jane Walker (1970-1974, 1985-1987) Suzy Paterson (1979-1981)Joanna Foster (2001)",,,Lawrence Cunningham (half-brother) Peter Barlow Tracy Barlow (adoptive half-sister) Daniel Osbourne (half-brother),,Mike Baldwin (1986),1965-04-05,2001-02-11,1965-04-05,2001-02-11,Exit,1987-06-30,1985-06-30,4,5
Susan Barlow,Weatherfield,Adam Barlow (1988),"1965-1971, 1973, 1974, 1979-1980, 1981, 1985-1987, 2001",Ken Barlow,Female,Valerie Barlow,177,,"Katie Heanue (1965-1970)Wendy Jane Walker (1970-1974, 1985-1987) Suzy Paterson (1979-1981)Joanna Foster (2001)",,,Lawrence Cunningham (half-brother) Peter Barlow Tracy Barlow (adoptive half-sister) Daniel Osbourne (half-brother),,Mike Baldwin (1986),1965-04-05,2001-02-11,1965-04-05,2001-02-11,Death,2001-02-11,2001-02-10,5,5
Suzie Birchall,,,"1977-1979, 1983",Bob Birchall,Female,Margaret Birchall,195,Shop assistant,Cheryl Murray,"Blackburn, Lancashire",Low,,"Wholesale, retail & repair of motor vehicles",Terry Goodwin (1982),1958-05-03,,1977-01-10,1983-06-29,Exit,1979-06-30,1977-01-10,1,2
Suzie Birchall,,,"1977-1979, 1983",Bob Birchall,Female,Margaret Birchall,195,Shop assistant,Cheryl Murray,"Blackburn, Lancashire",Low,,"Wholesale, retail & repair of motor vehicles",Terry Goodwin (1982),1958-05-03,,1977-01-10,1983-06-29,Exit,1983-06-29,1983-06-28,2,2
Sylvia Goodwin,,Roy Cropper (1954)Richard Lucas (1959),2011-2013,,Female,,161,Waitress,Stephanie Cole,,Low,Jean,Accommodation & food services,St. John CropperRoger Goodwin,1933-10-14,2019-01-23,2011-04-11,2013-08-02,Exit,2013-08-02,2011-04-11,1,1
Tanya Pooley,,,1993-1994,Dennis Pooley,Female,,143,Barmaid,Eva Pope,,Low,,Accommodation & food services,,,,1993-05-31,1994-09-23,Exit,1994-09-23,1993-05-31,1,1
Tara Mandal,,,2008-2009,Prem Mandal,Female,Nina Mandal,54,Art gallery proprietor,Ayesha Dharker,,Medium,,Other services,,,,2008-09-15,2009-05-11,Exit,2009-05-11,2008-09-15,1,1
Ted Page,,Gail Potter (1958),2008-2010,,Male,,73,Businessman (Retired),Michael Byrne,,High,A sister,Financial & insurance activities,James (2006),1940-02-01,2021-02-20,2008-04-28,2010-01-29,Exit,2010-01-29,2008-04-28,1,1
Teresa Bryant,,Jodie Morton (1978)Darryl Morton (1989)Mel Morton (1989)Kayleigh Morton (1994)Finlay Bryant (2000),"2007, 2008, 2009-2010",,Female,,105,Shop assistant,Karen Henthorn,,Low,,"Wholesale, retail & repair of motor vehicles",Jerry Morton (1978),1958-10-01,,2007-03-28,2010-05-14,Exit,2010-05-14,2007-03-28,1,1
Terry Bradshaw,,,1976,Harold Bradshaw,Male,Daisy Hibbert,48,Soldier,Bob Mason,,Medium,Renee Roberts,Public admin & defence; social security,,,,1976-02-02,1976-12-22,Exit,1976-12-22,1976-02-02,1,1
Terry Duckworth,,Paul Clayton (1986)  Tommy Duckworth (1992)  Brad Armstrong (1997),"1983-1987, 1988, 1992-1993, 1996, 1997, 1999, 2000, 2001-2002, 2008, 2012",Jack Duckworth,Male,Vera Duckworth,365,Businessman,Nigel Pivaro,,High,,Financial & insurance activities,Lisa Horton (1992),1964-06-04,,1983-08-01,2012-05-11,Exit,1988-06-30,1983-08-01,1,5
Terry Duckworth,,Paul Clayton (1986)  Tommy Duckworth (1992)  Brad Armstrong (1997),"1983-1987, 1988, 1992-1993, 1996, 1997, 1999, 2000, 2001-2002, 2008, 2012",Jack Duckworth,Male,Vera Duckworth,365,Businessman,Nigel Pivaro,,High,,Financial & insurance activities,Lisa Horton (1992),1964-06-04,,1983-08-01,2012-05-11,Exit,1993-06-30,1992-06-30,2,5
Terry Duckworth,,Paul Clayton (1986)  Tommy Duckworth (1992)  Brad Armstrong (1997),"1983-1987, 1988, 1992-1993, 1996, 1997, 1999, 2000, 2001-2002, 2008, 2012",Jack Duckworth,Male,Vera Duckworth,365,Businessman,Nigel Pivaro,,High,,Financial & insurance activities,Lisa Horton (1992),1964-06-04,,1983-08-01,2012-05-11,Exit,1997-06-30,1996-06-30,3,5
Terry Duckworth,,Paul Clayton (1986)  Tommy Duckworth (1992)  Brad Armstrong (1997),"1983-1987, 1988, 1992-1993, 1996, 1997, 1999, 2000, 2001-2002, 2008, 2012",Jack Duckworth,Male,Vera Duckworth,365,Businessman,Nigel Pivaro,,High,,Financial & insurance activities,Lisa Horton (1992),1964-06-04,,1983-08-01,2012-05-11,Exit,2002-06-30,1999-06-30,4,5
Terry Duckworth,,Paul Clayton (1986)  Tommy Duckworth (1992)  Brad Armstrong (1997),"1983-1987, 1988, 1992-1993, 1996, 1997, 1999, 2000, 2001-2002, 2008, 2012",Jack Duckworth,Male,Vera Duckworth,365,Businessman,Nigel Pivaro,,High,,Financial & insurance activities,Lisa Horton (1992),1964-06-04,,1983-08-01,2012-05-11,Exit,2012-05-11,2012-05-10,5,5
Tim Metcalfe,,Faye Butler (2002),2013 to present,Geoff Metcalfe,Male,Elaine Jones,1276 (as of Episode 11557/8),Co-owner of Street Cars,Joe Duttine,4 Coronation Street,Medium,,Transport & storage,"Charlotte Wood (2004)Sally Webster (2015; bigamous, 2020)",1972-01-28,,2013-01-21,,Alive,2025-06-30,2013-01-21,1,1
Tina Fowler,,,1989-1990,,Female,,152,Barmaid,Michelle Holmes,,Low,,Accommodation & food services,,,,1989-03-13,1990-09-03,Exit,1990-09-03,1989-03-13,1,1
Tina McIntyre,,Jake Windass (Birth mother; surrogacy),2008-2014,Joe McIntyre,Female,Ann McIntyre,870,Barmaid,Michelle Keegan,,Low,,Accommodation & food services,,1991-02-18,2014-06-02,2008-01-07,2014-06-02,Death,2014-06-02,2008-01-07,1,1
